request_id,image,send_time,success,warm,processing_time_s,response_time_s
3042,000000351823.jpg,1776419708.4252834,True,,1.99,2.001786
3043,000000352491.jpg,1776419710.4271548,True,,1.79,1.79789
3044,000000352582.jpg,1776419712.2251313,True,,1.79,1.802287
3045,000000352584.jpg,1776419714.027508,True,,1.89,1.89779
3046,000000352618.jpg,1776419715.9253874,True,,1.39,1.399523
3047,000000352684.jpg,1776419717.324995,True,,1.3,1.304862
3048,000000352760.jpg,1776419718.6299624,True,,1.59,1.594457
3049,000000352900.jpg,1776419720.2245061,True,,1.39,1.400789
3050,000000353027.jpg,1776419721.6253822,True,,1.79,1.801362
3051,000000353051.jpg,1776419723.4268322,True,,1.79,1.79935
3052,000000353096.jpg,1776419725.2262678,True,,1.79,1.800952
3053,000000353180.jpg,1776419727.027305,True,,1.69,1.699564
3054,000000353518.jpg,1776419728.726971,True,,1.59,1.599607
3055,000000353970.jpg,1776419730.3266652,True,,1.39,1.396703
3056,000000354072.jpg,1776419731.7234511,True,,1.6,1.603831
3057,000000354307.jpg,1776419733.3273754,True,,1.89,1.897809
3058,000000354547.jpg,1776419735.2252722,True,,1.39,1.400148
3059,000000354753.jpg,1776419736.625508,True,,1.9,1.902781
3060,000000354829.jpg,1776419738.5283773,True,,1.59,1.594824
3061,000000355169.jpg,1776419740.1232862,True,,1.7,1.706266
3062,000000355240.jpg,1776419741.829637,True,,1.59,1.598807
3063,000000355257.jpg,1776419743.4285297,True,,1.79,1.798187
3064,000000355325.jpg,1776419745.2268102,True,,1.89,1.897274
3065,000000355610.jpg,1776419747.1241632,True,,1.39,1.401891
3066,000000355677.jpg,1776419748.52614,True,,1.89,1.901875
3067,000000355817.jpg,1776419750.4281065,True,,1.79,1.801762
3068,000000355905.jpg,1776419752.2299695,True,,1.79,1.797518
3069,000000356094.jpg,1776419754.0275753,True,,1.59,1.596413
3070,000000356125.jpg,1776419755.62407,True,,1.89,1.901532
3071,000000356169.jpg,1776419757.5256891,True,,1.39,1.401172
3072,000000356248.jpg,1776419758.9269664,True,,1.39,1.3979
3073,000000356261.jpg,1776419760.3249648,True,,1.49,1.50081
3074,000000356347.jpg,1776419761.825857,True,,1.89,1.898441
3075,000000356387.jpg,1776419763.7243829,True,,1.79,1.80156
3076,000000356424.jpg,1776419765.526032,True,,1.49,1.497924
3077,000000356427.jpg,1776419767.0240405,True,,1.49,1.502549
3078,000000356428.jpg,1776419768.5266707,True,,1.69,1.700199
3079,000000356432.jpg,1776419770.2269754,True,,1.69,1.700356
3080,000000356498.jpg,1776419771.9274175,True,,1.89,1.896817
3081,000000356505.jpg,1776419773.8243208,True,,1.49,1.501522
3082,000000356531.jpg,1776419775.325943,True,,1.39,1.402115
3083,000000356612.jpg,1776419776.7281508,True,,1.69,1.701726
3084,000000356968.jpg,1776419778.429981,True,,1.89,1.895769
3085,000000357060.jpg,1776419780.325853,True,,1.3,1.302547
3086,000000357081.jpg,1776419781.6284904,True,,1.39,1.39518
3087,000000357238.jpg,1776419783.023755,True,,1.29,1.30155
3088,000000357430.jpg,1776419784.3253884,True,,1.79,1.801094
3089,000000357459.jpg,1776419786.126571,True,,1.79,1.8006
3090,000000357501.jpg,1776419787.9272547,True,,1.39,1.397681
3091,000000357567.jpg,1776419789.3250213,True,,1.39,1.398441
3092,000000357737.jpg,1776419790.7235448,True,,1.5,1.504258
3093,000000357742.jpg,1776419792.227886,True,,1.69,1.696546
3094,000000357748.jpg,1776419793.9245203,True,,1.89,1.902506
3095,000000357816.jpg,1776419795.8271086,True,,1.99,1.999023
3096,000000357888.jpg,1776419797.8262193,True,,1.49,1.49757
3097,000000357903.jpg,1776419799.3238766,True,,1.49,1.501197
3098,000000357941.jpg,1776419800.8251634,True,,1.9,1.902951
3099,000000357978.jpg,1776419802.728201,True,,1.99,1.999777
3100,000000358195.jpg,1776419804.728065,True,,2.09,2.098324
3101,000000358427.jpg,1776419806.8264716,True,,1.89,1.90155
3102,000000358525.jpg,1776419808.7281091,True,,2.09,2.097193
3103,000000358923.jpg,1776419810.825391,True,,1.89,1.901276
3104,000000359135.jpg,1776419812.7267556,True,,1.79,1.798253
3105,000000359219.jpg,1776419814.5250962,True,,1.89,1.902434
3106,000000359540.jpg,1776419816.427618,True,,1.79,1.895236
3107,000000359677.jpg,1776419818.322949,True,,1.69,1.70144
3108,000000359781.jpg,1776419820.0244727,True,,2.0,2.005163
3109,000000359833.jpg,1776419822.0297234,True,,2.09,2.097754
3110,000000359855.jpg,1776419824.1275606,True,,1.99,1.996808
3111,000000359937.jpg,1776419826.124452,True,,1.8,1.803503
3112,000000360097.jpg,1776419827.9280415,True,,1.79,1.798752
3113,000000360137.jpg,1776419829.726879,True,,2.39,2.39864
3114,000000360325.jpg,1776419832.125614,True,,1.99,1.999495
3115,000000360393.jpg,1776419834.1251929,True,,1.89,1.900542
3116,000000360564.jpg,1776419836.0258245,True,,1.89,1.90072
3117,000000360661.jpg,1776419837.9266331,True,,1.99,1.999101
3118,000000360943.jpg,1776419839.9258204,True,,2.1,2.102901
3119,000000360951.jpg,1776419842.0288098,True,,1.89,1.899926
3120,000000360960.jpg,1776419843.9288218,True,,1.79,1.802092
3121,000000361103.jpg,1776419845.7309976,True,,1.7,1.795912
3122,000000361142.jpg,1776419847.5270004,True,,1.49,1.498251
3123,000000361147.jpg,1776419849.0253386,True,,1.39,1.400359
3124,000000361180.jpg,1776419850.4257834,True,,1.39,1.400178
3125,000000361238.jpg,1776419851.8260467,True,,1.49,1.500618
3126,000000361268.jpg,1776419853.3267572,True,,1.69,1.700819
3127,000000361506.jpg,1776419855.027663,True,,1.99,1.999648
3128,000000361551.jpg,1776419857.027394,True,,1.99,1.997181
3129,000000361571.jpg,1776419859.0246572,True,,1.79,1.802475
3130,000000361586.jpg,1776419860.8272185,True,,1.69,1.698547
3131,000000361621.jpg,1776419862.525849,True,,1.99,1.998822
3132,000000361730.jpg,1776419864.524751,True,,1.7,1.79802
3133,000000361919.jpg,1776419866.3228562,True,,1.7,1.704535
3134,000000362434.jpg,1776419868.0274785,True,,1.99,2.001796
3135,000000362520.jpg,1776419870.02936,True,,1.89,1.894708
3136,000000362682.jpg,1776419871.924156,True,,1.8,1.802858
3137,000000362716.jpg,1776419873.7270951,True,,1.8,1.802756
3138,000000363072.jpg,1776419875.5299516,True,,2.49,2.496508
3139,000000363188.jpg,1776419878.0265465,True,,1.79,1.800153
3140,000000363207.jpg,1776419879.8267832,True,,1.89,1.902043
3141,000000363461.jpg,1776419881.728941,True,,1.99,1.99574
3142,000000363666.jpg,1776419883.7247639,True,,1.89,1.898581
3143,000000363784.jpg,1776419885.623425,True,,1.7,1.70354
3144,000000363840.jpg,1776419887.3270507,True,,1.89,1.900224
3145,000000363875.jpg,1776419889.2273612,True,,2.29,2.298507
3146,000000364102.jpg,1776419891.5259752,True,,1.79,1.801421
3147,000000364126.jpg,1776419893.3274837,True,,1.59,1.599564
3148,000000364166.jpg,1776419894.9271393,True,,1.49,1.498716
3149,000000364297.jpg,1776419896.4259584,True,,1.39,1.401747
3150,000000364322.jpg,1776419897.8277953,True,,2.09,2.097134
3151,000000364557.jpg,1776419899.925011,True,,1.7,1.704615
